Order_ID,Order_Date,Customer_Segment,Priority,Product_Category,Order_Value_INR,Origin,Destination,Special_Handling
ORD000001,10/9/2025,Individual,Express,Industrial,238.73,Kolkata,Hyderabad,None
ORD000002,9/29/2025,SMB,Express,Industrial,17.01,Hyderabad,Kolkata,None
ORD000003,9/15/2025,SMB,Economy,Industrial,3024.95,Mumbai,Pune,None
ORD000004,10/13/2025,Individual,Economy,Fashion,56.74,Hyderabad,Ahmedabad,None
ORD000005,9/8/2025,SMB,Standard,Fashion,19148.65,Chennai,Mumbai,None
ORD000006,9/21/2025,Individual,Express,Food & Beverage,158.22,Chennai,Dubai,None
ORD000007,10/9/2025,Individual,Standard,Electronics,736.82,Pune,Bangalore,None
ORD000008,9/19/2025,Enterprise,Standard,Industrial,4771.54,Chennai,Kolkata,None
ORD000009,9/23/2025,SMB,Express,Books,3711.35,Delhi,Hong Kong,None
ORD000010,9/11/2025,SMB,Standard,Electronics,7936.32,Hyderabad,Mumbai,Hazmat
ORD000011,9/11/2025,Enterprise,Standard,Books,41.07,Delhi,Bangkok,None
ORD000012,9/24/2025,Enterprise,Standard,Electronics,73.42,Mumbai,Hong Kong,None
ORD000013,10/6/2025,SMB,Standard,Food & Beverage,566.23,Hyderabad,Bangalore,None
ORD000014,10/10/2025,SMB,Express,Industrial,1421.72,Delhi,Bangalore,None
ORD000015,9/24/2025,Enterprise,Standard,Industrial,396.69,Kolkata,Delhi,Hazmat
ORD000016,9/3/2025,Enterprise,Standard,Healthcare,34.57,Delhi,Mumbai,Fragile
ORD000017,9/22/2025,Individual,Standard,Books,849.69,Hyderabad,Singapore,None
ORD000018,9/2/2025,Enterprise,Economy,Electronics,301.46,Mumbai,Chennai,Fragile
ORD000019,9/24/2025,Enterprise,Standard,Electronics,296.08,Ahmedabad,Bangalore,Hazmat
ORD000020,10/14/2025,SMB,Express,Fashion,13.24,Kolkata,Pune,Temperature_Controlled
ORD000021,9/30/2025,Individual,Express,Healthcare,1334.39,Mumbai,Singapore,Fragile
ORD000022,10/8/2025,Enterprise,Standard,Home Goods,501.6,Bangalore,Dubai,Fragile
ORD000023,9/2/2025,SMB,Express,Home Goods,5959.53,Ahmedabad,Dubai,None
ORD000024,9/21/2025,Individual,Standard,Fashion,360.77,Bangalore,Kolkata,None
ORD000025,10/3/2025,Enterprise,Economy,Fashion,943.42,Mumbai,Hyderabad,None
ORD000026,9/12/2025,Individual,Standard,Fashion,1404.91,Bangalore,Delhi,None
ORD000027,9/22/2025,SMB,Standard,Books,29.39,Bangalore,Bangkok,None
ORD000028,10/14/2025,SMB,Standard,Books,20435.93,Kolkata,Dubai,None
ORD000029,9/25/2025,SMB,Standard,Food & Beverage,211.41,Chennai,Singapore,None
ORD000030,10/19/2025,SMB,Standard,Food & Beverage,847.13,Delhi,Chennai,Fragile
ORD000031,9/27/2025,Enterprise,Economy,Fashion,1054.55,Mumbai,Bangkok,Temperature_Controlled
ORD000032,10/12/2025,Individual,Standard,Healthcare,118.85,Chennai,Dubai,None
ORD000033,9/28/2025,SMB,Economy,Electronics,6441.2,Delhi,Chennai,None
ORD000034,9/16/2025,Enterprise,Economy,Books,601.2,Mumbai,Dubai,Temperature_Controlled
ORD000035,9/15/2025,Enterprise,Express,Healthcare,292.89,Pune,Delhi,None
ORD000036,10/17/2025,SMB,Express,Industrial,496.59,Chennai,Hong Kong,Fragile
ORD000037,10/14/2025,SMB,Express,Books,1269.5,Chennai,Dubai,None
ORD000038,9/3/2025,Enterprise,Express,Books,410.02,Hyderabad,Singapore,None
ORD000039,10/7/2025,SMB,Express,Food & Beverage,1514.58,Bangalore,Dubai,Hazmat
ORD000040,9/7/2025,Enterprise,Standard,Electronics,32.22,Kolkata,Hyderabad,None
ORD000041,9/21/2025,SMB,Express,Electronics,131.37,Bangalore,Bangkok,None
ORD000042,9/9/2025,Enterprise,Standard,Home Goods,16.31,Mumbai,Bangkok,Fragile
ORD000043,10/9/2025,SMB,Economy,Home Goods,8066.8,Delhi,Bangalore,None
ORD000044,9/18/2025,SMB,Express,Home Goods,7910.83,Bangalore,Singapore,None
ORD000045,9/4/2025,Individual,Economy,Home Goods,1032.69,Kolkata,Pune,Hazmat
ORD000046,9/25/2025,Enterprise,Standard,Industrial,88.33,Mumbai,Singapore,None
ORD000047,9/14/2025,SMB,Express,Industrial,14542.31,Mumbai,Bangkok,Temperature_Controlled
ORD000048,10/20/2025,Enterprise,Standard,Books,162.94,Delhi,Hyderabad,None
ORD000049,9/9/2025,Individual,Standard,Fashion,293,Delhi,Hong Kong,None
ORD000050,9/26/2025,Individual,Economy,Food & Beverage,512.5,Kolkata,Delhi,None
ORD000051,9/2/2025,Enterprise,Economy,Food & Beverage,794.15,Delhi,Pune,None
ORD000052,9/20/2025,SMB,Economy,Home Goods,1059.66,Chennai,Hyderabad,Temperature_Controlled
ORD000053,9/28/2025,Individual,Standard,Books,1125.45,Bangalore,Hyderabad,Temperature_Controlled
ORD000054,10/17/2025,SMB,Express,Healthcare,324.8,Bangalore,Mumbai,None
ORD000055,9/7/2025,SMB,Economy,Fashion,1099,Hyderabad,Delhi,Fragile
ORD000056,10/14/2025,Enterprise,Economy,Books,303.74,Delhi,Singapore,None
ORD000057,9/8/2025,Enterprise,Economy,Fashion,961.94,Kolkata,Bangalore,None
ORD000058,10/17/2025,Individual,Standard,Fashion,850.6,Delhi,Hong Kong,None
ORD000059,10/5/2025,Individual,Standard,Fashion,1266.83,Delhi,Chennai,None
ORD000060,9/14/2025,SMB,Economy,Books,1050.42,Pune,Singapore,None
ORD000061,9/17/2025,SMB,Standard,Home Goods,207.75,Mumbai,Singapore,Fragile
ORD000062,10/6/2025,SMB,Economy,Food & Beverage,802.77,Mumbai,Bangalore,None
ORD000063,10/20/2025,Individual,Economy,Food & Beverage,1075.03,Kolkata,Singapore,None
ORD000064,10/10/2025,Individual,Standard,Home Goods,58.17,Mumbai,Bangkok,None
ORD000065,9/4/2025,Individual,Economy,Fashion,267.45,Hyderabad,Mumbai,None
ORD000066,9/2/2025,Individual,Economy,Healthcare,1004.43,Delhi,Pune,Fragile
ORD000067,9/6/2025,SMB,Express,Electronics,5239.28,Pune,Singapore,None
ORD000068,10/12/2025,Enterprise,Economy,Books,1390.4,Kolkata,Bangalore,None
ORD000069,9/4/2025,Enterprise,Standard,Electronics,5759.28,Chennai,Singapore,None
ORD000070,9/29/2025,Individual,Economy,Home Goods,221.95,Pune,Mumbai,None
ORD000071,9/18/2025,SMB,Standard,Healthcare,587.15,Delhi,Bangkok,None
ORD000072,9/26/2025,Enterprise,Economy,Books,1351,Pune,Bangkok,None
ORD000073,10/14/2025,Enterprise,Standard,Home Goods,12.31,Mumbai,Dubai,Fragile
ORD000074,10/4/2025,SMB,Express,Fashion,3890.16,Bangalore,Bangkok,Temperature_Controlled
ORD000075,9/10/2025,Enterprise,Economy,Food & Beverage,24.75,Delhi,Dubai,None
ORD000076,10/6/2025,Enterprise,Express,Electronics,1799.76,Bangalore,Hyderabad,None
ORD000077,9/14/2025,SMB,Standard,Industrial,1130.31,Mumbai,Hong Kong,None
ORD000078,10/1/2025,SMB,Economy,Industrial,12.07,Hyderabad,Chennai,None
ORD000079,10/18/2025,SMB,Economy,Healthcare,13.02,Hyderabad,Bangkok,None
ORD000080,9/15/2025,Enterprise,Standard,Fashion,3458.96,Pune,Hyderabad,None
ORD000081,9/8/2025,Individual,Standard,Electronics,2495.1,Mumbai,Ahmedabad,None
ORD000082,9/14/2025,Enterprise,Standard,Fashion,107.63,Chennai,Hyderabad,None
ORD000083,9/23/2025,SMB,Standard,Electronics,107.47,Bangalore,Bangkok,None
ORD000084,10/10/2025,Individual,Standard,Healthcare,870.36,Delhi,Hong Kong,None
ORD000085,9/21/2025,SMB,Standard,Healthcare,395.79,Delhi,Dubai,None
ORD000086,9/16/2025,Individual,Economy,Industrial,1961.75,Delhi,Chennai,None
ORD000087,10/15/2025,SMB,Economy,Fashion,828.3,Chennai,Ahmedabad,None
ORD000088,9/18/2025,SMB,Economy,Books,4335.3,Bangalore,Hong Kong,Fragile
ORD000089,10/17/2025,Enterprise,Express,Industrial,1728.69,Bangalore,Hong Kong,None
ORD000090,9/24/2025,SMB,Standard,Fashion,1189.35,Mumbai,Bangkok,Hazmat
ORD000091,9/26/2025,Enterprise,Express,Industrial,237.89,Mumbai,Hyderabad,None
ORD000092,9/25/2025,Enterprise,Standard,Books,213.15,Mumbai,Ahmedabad,Fragile
ORD000093,10/15/2025,Individual,Standard,Food & Beverage,373.29,Ahmedabad,Delhi,None
ORD000094,10/11/2025,SMB,Economy,Food & Beverage,6383.13,Mumbai,Kolkata,Fragile
ORD000095,9/29/2025,Individual,Standard,Food & Beverage,219.33,Mumbai,Bangalore,Fragile
ORD000096,9/15/2025,SMB,Express,Food & Beverage,596.33,Delhi,Ahmedabad,None
ORD000097,10/15/2025,Individual,Express,Home Goods,13.91,Kolkata,Delhi,None
ORD000098,9/1/2025,SMB,Economy,Electronics,1111.77,Ahmedabad,Bangkok,None
ORD000099,9/25/2025,SMB,Standard,Home Goods,11917.91,Kolkata,Mumbai,None
ORD000100,9/7/2025,SMB,Express,Home Goods,99.44,Chennai,Dubai,None
ORD000101,9/9/2025,Enterprise,Express,Home Goods,47177.07,Bangalore,Mumbai,None
ORD000102,9/24/2025,Individual,Economy,Food & Beverage,530.26,Mumbai,Singapore,None
ORD000103,9/1/2025,Enterprise,Express,Books,8.5,Pune,Delhi,None
